USER		QUOTA	EXCEED	FILES	PRINTED	RESET
adbysjva	0	0	0	0       0
alekssandroab	0	0	0	0       0
alessandrolfs	0	0	0	0       0
andersonsm	0	0	0	0       0
anissampc	0	0	0	0       0
antoniopdan	0	0	0	0       0
arthurrso	0	0	0	0       0
bernardlcs	0	0	0	0       0
biancall	0	0	0	0       0
caiolmc		0	0	0	0       0
danilotc	0	0	0	0       0
erijos		0	0	0	0       0
estaciopdsn	0	0	0	0       0
fubica		0	0	0	0       0
gabrielsv	0	0	0	0       0
germanoprg	0	0	0	0       0
henriquebb	0	0	0	0       0
javanktl	0	0	0	0       0
josebsn		0	0	0	0       0
kaiokmo		0	0	0	0       0
leomv		0	0	0	0       0
liviacbj	0	0	0	0       0
lucasecdb	0	0	0	0       0
lucaslv		0	0	0	0       0
luizfds		0	0	0	0       0
marcosaboj	0	0	0	0       0
matheusgm	0	0	0	0       0
matheuspds	0	0	0	0       0
matteussls	0	0	0	0       0
rafaelksd	0	0	0	0       0
ravill		0	0	0	0       0
ronaldompf	0	0	0	0       0
sergiosd	0	0	0	0       0
tatianeaf	0	0	0	0       0
ubuntu		0	0	0	0       0
viniciusdms	0	0	0	0       0
yagoct		0	0	0	0       0
